X,Y,Name
53.56,15.23,ICYLC
18.28,12.22,WYEET
87.35,76.62,NAS66
15.18,27.13,6YLBM
84.47,35.16,96SCR
67.95,87.2,RIA7L
44.38,99.83,T8AQK
27.43,18.92,19L91
3.5,70.52,M1R9F
20.92,12.3,7OP9M
31.63,75.6,HRFBQ
18.33,30.33,15PHW
26.37,16.87,VET38
58.86,59.61,A7Z8F
4.65,40.12,BNA0M
59.1,62.66,AVHYY
54.48,51.1,GIIGR
47.25,0.22,IYGIX
8.47,44.67,IP3UA
30.65,85.06,8M5V4
90.08,30.15,5LOOO
12.1,32.3,KXS45
33.08,8.27,ABQI5
74.84,53.84,FXLF6
0.62,7.79,3LDY4
32.33,72.41,O2GW4
68.69,5.36,AR15U
21.38,51.62,85JM2
29.42,60.65,TE8U0
53.22,83.7,L22E6
76.74,15.5,HAYMT
90.76,90.42,MKC1R
33.47,75.49,URI9H
6.41,89.02,IVTWM
47.91,2.6,6PJML
80.81,56.02,8U2VF
90.66,67.53,TJZ7W
57.62,45.1,UHL9T
68.23,64.91,2ZOU6
97.63,9.04,7EHSN
58.33,17.62,EUP3Q
96.69,17.57,7SX4R
34.55,66.28,UGE2K
4.36,34.2,ZQJ0F
45.24,34.74,GVDUM
45.39,44.0,4RALW
81.65,35.77,0NFDX
72.49,35.17,KB547
32.81,78.91,ZP8OG
56.18,13.05,ZCPVZ
54.37,25.72,YYDGP
79.62,56.69,KHKEX
10.29,57.75,SKFQX
43.17,86.87,2QIKT
64.91,98.34,K90BW
14.9,91.85,N2JFG
13.67,45.27,3M5LI
48.43,7.22,3EPUZ
59.09,13.48,49YO7
47.82,34.34,4Y07O
47.22,99.14,PHJE9
22.46,39.87,UL2RH
7.44,44.79,MVFL6
84.08,36.4,0EDCE
23.01,64.61,RZ2B1
30.91,92.57,SPXW1
37.23,98.55,PGZKA
32.41,49.06,3MKYL
84.76,28.47,840UP
71.05,5.83,6DRIV
62.16,43.82,BDC8L
69.43,63.36,CT0G1
22.76,10.36,34R6D
46.21,96.03,HS4YA
95.89,9.73,ADG3K
72.78,76.15,DR6ZH
44.72,58.7,MYFU8
48.48,22.28,EBJGQ
64.45,64.05,RTOZ4
96.69,31.72,JAWJG
12.01,55.18,NCL8K
30.01,54.17,GVIWH
28.97,99.95,2JR0I
64.34,35.22,FIEW6
99.47,39.92,YZEMN
39.14,49.72,2GB1K
41.83,61.51,FKC3Z
4.34,86.36,FO28A
92.2,68.03,W3HWC
46.8,43.22,WRKIW
15.98,3.32,0RHNV
89.42,37.83,QFMMR
36.78,27.85,SFJ3W
97.23,45.56,XQ7G6
9.99,15.93,Q5EC1
37.49,18.17,A1REG
58.08,44.43,DRS21
47.32,75.85,F603J
29.65,47.97,KG5H8
8.3,51.86,NOHWS
